Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
47 | 0.1953 | 0.4572 | 0.3436 | 0.3215 | 95% | 0.9257 | 0.4197 | 0.0381 | 0.23 | 36.4% | 0.4544 | 0.4203 | 45.3% | 35/0.99/2.5
48 | 0.1927 | 0.4636 | 0.3515 | 0.3230 | 95% | 0.9266 | 0.4188 | 0.0371 | 0.19 | 36.0% | 0.4513 | 0.4200 | 45.7% | 35/0.99/2.5
49 | 0.1920 | 0.4614 | 0.3488 | 0.3224 | 95% | 0.9276 | 0.4155 | 0.0358 | 0.19 | 36.4% | 0.4503 | 0.4163 | 45.8% | 35/0.99/2.5
50 | 0.1903 | 0.4559 | 0.3420 | 0.3160 | 95% | 0.9273 | 0.4163 | 0.0361 | 0.12 | 34.6% | 0.4514 | 0.4176 | 45.8% | 0/0.995/2.5
51 | 0.1907 | 0.4573 | 0.3437 | 0.3208 | 95% | 0.9274 | 0.4191 | 0.0363 | 0.18 | 36.0% | 0.4553 | 0.4189 | 45.6% | 35/0.99/2.5
52 | 0.1890 | 0.4566 | 0.3429 | 0.3259 | 95% | 0.9285 | 0.4190 | 0.0351 | 0.19 | 36.0% | 0.4519 | 0.4186 | 45.9% | 0/0.99/2.5
53 | 0.1897 | 0.4617 | 0.3492 | 0.3257 | 95% | 0.9281 | 0.4188 | 0.0355 | 0.16 | 36.0% | 0.4549 | 0.4176 | 45.7% | 35/0.99/2.5
54 | 0.1881 | 0.4569 | 0.3433 | 0.3232 | 95% | 0.9276 | 0.4162 | 0.0359 | 0.08 | 35.0% | 0.4509 | 0.4156 | 46.1% | 0/0.995/2.5
55 | 0.1865 | 0.4599 | 0.3470 | 0.3230 | 95% | 0.9281 | 0.4160 | 0.0354 | 0.18 | 36.0% | 0.4517 | 0.4152 | 46.0% | 0/0.99/2.5
56 | 0.1858 | 0.4623 | 0.3499 | 0.3233 | 95% | 0.9289 | 0.4150 | 0.0343 | 0.18 | 36.4% | 0.4489 | 0.4143 | 46.4% | 0/0.99/2.5
57 | 0.1865 | 0.4612 | 0.3485 | 0.3222 | 95% | 0.9294 | 0.4141 | 0.0338 | 0.18 | 36.0% | 0.4486 | 0.4134 | 46.6% | 0/0.99/2.5
58 | 0.1862 | 0.4570 | 0.3434 | 0.3224 | 95% | 0.9289 | 0.4138 | 0.0342 | 0.16 | 35.5% | 0.4499 | 0.4130 | 46.6% | 0/0.99/2.5
59 | 0.1851 | 0.4568 | 0.3431 | 0.3224 | 95% | 0.9293 | 0.4130 | 0.0338 | 0.15 | 35.5% | 0.4508 | 0.4122 | 46.2% | 35/0.99/2.5
60 | 0.1850 | 0.4591 | 0.3460 | 0.3233 | 95% | 0.9297 | 0.4113 | 0.0333 | 0.14 | 35.5% | 0.4474 | 0.4105 | 46.7% | 35/0.99/2.5
