Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
43 | 0.1664 | 0.5844 | 0.5247 | 0.4239 | 84% | 0.9264 | 0.6253 | 0.0521 | 0.51 | 68.7% | 0.6415 | 0.6453 | 21.3% | 35/0.998/2.5
44 | 0.1643 | 0.5718 | 0.5091 | 0.4269 | 84% | 0.9258 | 0.6193 | 0.0523 | 0.43 | 63.6% | 0.6364 | 0.6398 | 21.9% | 0/0.998/2.0
45 | 0.1617 | 0.5929 | 0.5230 | 0.4335 | 89% | 0.9274 | 0.6212 | 0.0507 | 0.39 | 64.0% | 0.6400 | 0.6404 | 21.7% | 0/0.998/2.0
46 | 0.1605 | 0.5960 | 0.5389 | 0.4162 | 84% | 0.9284 | 0.6260 | 0.0500 | 0.50 | 69.6% | 0.6437 | 0.6454 | 21.0% | 35/0.998/2.5
47 | 0.1611 | 0.5908 | 0.5447 | 0.4106 | 79% | 0.9267 | 0.6254 | 0.0518 | 0.48 | 68.7% | 0.6412 | 0.6470 | 21.3% | 35/0.998/2.5
48 | 0.1599 | 0.5594 | 0.5061 | 0.4135 | 79% | 0.9262 | 0.6215 | 0.0521 | 0.39 | 61.7% | 0.6382 | 0.6417 | 21.7% | 35/0.998/2.0
49 | 0.1580 | 0.5537 | 0.4990 | 0.4156 | 79% | 0.9259 | 0.6210 | 0.0523 | 0.38 | 62.1% | 0.6366 | 0.6413 | 21.9% | 35/0.998/2.0
50 | 0.1562 | 0.5531 | 0.5228 | 0.4149 | 68% | 0.9245 | 0.6244 | 0.0540 | 0.64 | 69.6% | 0.6429 | 0.6428 | 21.3% | 0/0.998/2.5
51 | 0.1541 | 0.5522 | 0.5216 | 0.4206 | 68% | 0.9264 | 0.6206 | 0.0517 | 0.48 | 64.5% | 0.6396 | 0.6382 | 21.9% | 0/0.998/2.0
52 | 0.1550 | 0.5479 | 0.5285 | 0.4157 | 63% | 0.9255 | 0.6228 | 0.0529 | 0.69 | 72.0% | 0.6407 | 0.6421 | 21.6% | 0/0.998/2.5
53 | 0.1541 | 0.5576 | 0.5283 | 0.4123 | 68% | 0.9258 | 0.6243 | 0.0526 | 0.50 | 66.8% | 0.6426 | 0.6433 | 21.3% | 0/0.998/2.0
54 | 0.1536 | 0.5513 | 0.4839 | 0.4114 | 84% | 0.9259 | 0.6254 | 0.0526 | 0.44 | 59.8% | 0.6433 | 0.6444 | 21.2% | 0/0.999/2.5
55 | 0.1547 | 0.5521 | 0.4850 | 0.4077 | 84% | 0.9245 | 0.6283 | 0.0543 | 0.43 | 61.2% | 0.6460 | 0.6472 | 20.9% | 0/0.999/2.5
56 | 0.1522 | 0.5452 | 0.4764 | 0.4160 | 84% | 0.9267 | 0.6266 | 0.0519 | 0.45 | 59.8% | 0.6456 | 0.6441 | 21.3% | 0/0.999/2.5
57 | 0.1539 | 0.5544 | 0.4877 | 0.4228 | 84% | 0.9282 | 0.6261 | 0.0502 | 0.44 | 61.2% | 0.6441 | 0.6434 | 21.5% | 0/0.999/2.5
58 | 0.1523 | 0.5602 | 0.4949 | 0.4191 | 84% | 0.9277 | 0.6274 | 0.0509 | 0.45 | 61.7% | 0.6450 | 0.6460 | 21.3% | 0/0.999/2.5
59 | 0.1517 | 0.5620 | 0.4971 | 0.4133 | 84% | 0.9273 | 0.6285 | 0.0513 | 0.46 | 62.6% | 0.6456 | 0.6472 | 21.0% | 0/0.999/2.5
60 | 0.1520 | 0.5619 | 0.4970 | 0.4141 | 84% | 0.9273 | 0.6286 | 0.0514 | 0.45 | 62.1% | 0.6458 | 0.6474 | 21.0% | 35/0.999/2.5
