Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
43 | 0.0670 | 0.3114 | 0.1640 | 0.2723 | 95% | 0.9354 | 0.1219 | 0.0065 | 0.41 | 19.6% | 0.1491 | 0.1140 | 83.8% | 15/0.97/0.0
44 | 0.0652 | 0.2991 | 0.1489 | 0.2569 | 95% | 0.9349 | 0.1167 | 0.0066 | 0.23 | 16.4% | 0.1484 | 0.1080 | 84.0% | 0/0.9997/0.0
45 | 0.0640 | 0.2950 | 0.1561 | 0.2473 | 89% | 0.9350 | 0.1183 | 0.0067 | 0.28 | 17.3% | 0.1523 | 0.1092 | 83.9% | 35/0.0/0.0
46 | 0.0632 | 0.2941 | 0.1427 | 0.2507 | 95% | 0.9351 | 0.1143 | 0.0062 | 0.21 | 15.0% | 0.1501 | 0.1058 | 84.1% | 35/0.9997/0.0
47 | 0.0619 | 0.2947 | 0.1435 | 0.2484 | 95% | 0.9352 | 0.1119 | 0.0059 | 0.25 | 16.4% | 0.1481 | 0.1033 | 84.1% | 35/0.0/0.0
48 | 0.0610 | 0.2942 | 0.1429 | 0.2562 | 95% | 0.9353 | 0.1092 | 0.0057 | 0.24 | 16.4% | 0.1429 | 0.1005 | 84.8% | 35/0.0/0.0
49 | 0.0598 | 0.2896 | 0.1372 | 0.2642 | 95% | 0.9352 | 0.1073 | 0.0056 | 0.25 | 15.0% | 0.1415 | 0.0984 | 85.3% | 35/0.0/0.0
50 | 0.0595 | 0.2903 | 0.1381 | 0.2642 | 95% | 0.9353 | 0.1072 | 0.0055 | 0.29 | 14.5% | 0.1431 | 0.0982 | 84.9% | 0/0.9993/0.0
51 | 0.0590 | 0.2908 | 0.1386 | 0.2642 | 95% | 0.9355 | 0.1063 | 0.0053 | 0.26 | 15.0% | 0.1434 | 0.0975 | 85.4% | 15/0.999/0.0
52 | 0.0583 | 0.2902 | 0.1380 | 0.2650 | 95% | 0.9354 | 0.1066 | 0.0054 | 0.26 | 14.0% | 0.1432 | 0.0979 | 85.1% | 15/0.9997/0.0
53 | 0.0578 | 0.2891 | 0.1366 | 0.2628 | 95% | 0.9353 | 0.1041 | 0.0053 | 0.27 | 14.5% | 0.1421 | 0.0951 | 85.1% | 15/0.9993/0.0
54 | 0.0573 | 0.2842 | 0.1305 | 0.2590 | 95% | 0.9352 | 0.0999 | 0.0051 | 0.26 | 14.0% | 0.1375 | 0.0914 | 85.8% | 15/0.9993/0.0
55 | 0.0569 | 0.2836 | 0.1298 | 0.2583 | 95% | 0.9351 | 0.0989 | 0.0051 | 0.26 | 14.0% | 0.1333 | 0.0905 | 86.0% | 15/0.9993/0.0
56 | 0.0565 | 0.2825 | 0.1285 | 0.2564 | 95% | 0.9350 | 0.0967 | 0.0051 | 0.25 | 14.5% | 0.1311 | 0.0887 | 86.3% | 15/0.9993/0.0
57 | 0.0564 | 0.2819 | 0.1277 | 0.2556 | 95% | 0.9351 | 0.0957 | 0.0050 | 0.25 | 14.0% | 0.1298 | 0.0878 | 86.6% | 15/0.9997/0.0
58 | 0.0560 | 0.2817 | 0.1274 | 0.2552 | 95% | 0.9351 | 0.0954 | 0.0049 | 0.23 | 14.0% | 0.1285 | 0.0875 | 86.6% | 15/0.9997/0.0
59 | 0.0559 | 0.2814 | 0.1270 | 0.2546 | 95% | 0.9350 | 0.0949 | 0.0050 | 0.23 | 14.0% | 0.1284 | 0.0871 | 86.8% | 15/0.9997/0.0
60 | 0.0560 | 0.2813 | 0.1270 | 0.2545 | 95% | 0.9350 | 0.0947 | 0.0050 | 0.23 | 14.0% | 0.1277 | 0.0870 | 86.8% | 15/0.9997/0.0
