Epoch | Loss | 3DAll | 3DNod | 3DRaw | CleanOK | 2DAll | 2DTumor | FA | FPcomp | Detect | Precision | Sensitivity | FailRate | Gate
43 | 0.1641 | 0.5158 | 0.4768 | 0.4140 | 68% | 0.9314 | 0.5107 | 0.0386 | 0.79 | 65.4% | 0.5401 | 0.5263 | 32.7% | 0/0.97/3.0
44 | 0.1626 | 0.5118 | 0.4719 | 0.4277 | 68% | 0.9318 | 0.5108 | 0.0381 | 0.79 | 64.0% | 0.5393 | 0.5258 | 32.9% | 0/0.97/3.0
45 | 0.1614 | 0.5115 | 0.4715 | 0.4193 | 68% | 0.9322 | 0.5093 | 0.0376 | 0.83 | 63.6% | 0.5385 | 0.5237 | 33.2% | 0/0.97/3.0
46 | 0.1605 | 0.5067 | 0.4412 | 0.4162 | 79% | 0.9312 | 0.5067 | 0.0385 | 0.43 | 52.3% | 0.5354 | 0.5202 | 33.5% | 0/0.97/2.0
47 | 0.1573 | 0.5051 | 0.4514 | 0.4134 | 74% | 0.9317 | 0.5084 | 0.0381 | 0.41 | 56.1% | 0.5397 | 0.5223 | 33.1% | 0/0.97/2.0
48 | 0.1582 | 0.5117 | 0.4352 | 0.4146 | 84% | 0.9319 | 0.5089 | 0.0379 | 0.28 | 48.1% | 0.5401 | 0.5230 | 33.2% | 0/0.97/1.8
49 | 0.1573 | 0.5154 | 0.4519 | 0.4159 | 79% | 0.9313 | 0.5124 | 0.0387 | 0.40 | 53.3% | 0.5441 | 0.5268 | 32.6% | 0/0.97/2.0
50 | 0.1551 | 0.5205 | 0.4581 | 0.4067 | 79% | 0.9315 | 0.5113 | 0.0385 | 0.37 | 55.1% | 0.5405 | 0.5261 | 33.0% | 0/0.97/2.0
51 | 0.1525 | 0.5272 | 0.4543 | 0.4080 | 84% | 0.9317 | 0.5098 | 0.0381 | 0.36 | 54.7% | 0.5396 | 0.5244 | 33.3% | 0/0.97/2.0
52 | 0.1540 | 0.5238 | 0.4745 | 0.4080 | 74% | 0.9319 | 0.5070 | 0.0378 | 0.64 | 59.8% | 0.5383 | 0.5216 | 33.5% | 0/0.95/2.5
53 | 0.1528 | 0.5283 | 0.4556 | 0.4072 | 84% | 0.9327 | 0.5035 | 0.0367 | 0.35 | 52.8% | 0.5331 | 0.5174 | 34.0% | 0/0.97/2.0
54 | 0.1523 | 0.5245 | 0.4753 | 0.4045 | 74% | 0.9324 | 0.5014 | 0.0368 | 0.70 | 63.1% | 0.5307 | 0.5151 | 34.4% | 15/0.97/3.0
55 | 0.1531 | 0.5190 | 0.4685 | 0.4038 | 74% | 0.9330 | 0.4998 | 0.0360 | 0.73 | 62.1% | 0.5295 | 0.5132 | 34.4% | 0/0.97/3.0
56 | 0.1511 | 0.5218 | 0.4475 | 0.4118 | 84% | 0.9333 | 0.4994 | 0.0357 | 0.35 | 53.3% | 0.5298 | 0.5127 | 34.7% | 0/0.95/2.0
57 | 0.1526 | 0.5191 | 0.4443 | 0.4115 | 84% | 0.9325 | 0.4977 | 0.0365 | 0.37 | 52.3% | 0.5282 | 0.5109 | 34.8% | 0/0.97/2.0
58 | 0.1505 | 0.5182 | 0.4432 | 0.4127 | 84% | 0.9325 | 0.4987 | 0.0366 | 0.36 | 52.8% | 0.5270 | 0.5121 | 34.9% | 0/0.95/2.0
59 | 0.1515 | 0.5206 | 0.4705 | 0.4131 | 74% | 0.9325 | 0.4989 | 0.0366 | 0.74 | 62.1% | 0.5277 | 0.5123 | 34.8% | 0/0.97/3.0
60 | 0.1493 | 0.5199 | 0.4697 | 0.4135 | 74% | 0.9324 | 0.4998 | 0.0367 | 0.74 | 62.1% | 0.5282 | 0.5136 | 34.7% | 0/0.97/3.0
